s1,s2,label
alguien sabe vietnamita quiero oder,quiero saber proceso western union comprar,0
cómo uso cupón selecto,cómo selecciono moneda,0
necesito hablar ser humano favor,quiero hablar humano línea,1
cómo hago pedido,cómo cancelo pedido congelado,0
hola extendí servicio atención cliente 3 veces,ahora todavía llegado orden,0
puede abrir cuenta,sentimos cuenta marcado motivos puede participar promoción,0
presento apelación pasa,puedo enviar formulario disputa,0
recibo correo electrónico orden protección compras,puedo extender tiempo protección orden,0
hora china,tiempo procesamiento,0
necesito confirmes tarjeta crédito,guardé tarjeta crédito necesito reemplazarla nueva,0
número teléfono,numero telefono,1
hola contactar ahora icono chat ahora lado izquierdo página ahora,hago clic pagar ahora llevando página inicio sesión,0
tiempo disputa terminado,tiempo procesamiento terminado quiero extenderlo,0
quiero enviar pedido vez,gustaría pagar artículo vez,0
devuélveme operador,cómo convertir cuenta comprador cuenta vendedor,0
colega dijo restaurado,pagué pedido decía todavía esperando pago,0
jodida computadora,persona computadora,1
cómo puedo verificar si vendedor confiable,cómo reviso cupón,0
contacta vendedor,puedo contactar vendedor,0
recibo correo electrónico orden protección compras,puede extender protección compra,0
después hacer pedido dijeron envíos adicionales cambié dirección bueno cambié dirección pagué cargos adicionales ver,quiero cambiar dirección envío orden logística,0
hola podido pagar artículos dice error intento tarde puedes ayudar,escrito vendedor diferentes maneras todavía ignora,0
vendedor cambió método envío,cómo puedo cambiar método envío,0
necesito diez mejores artículos vendieron 2017 alta,situación reembolsado,0
quiero confirmar recibí mercancía contento puedo iniciar sesión,necesito recibir mercancía pronto,0
entonces comprando caso,quiero extender compra protección,0
puedo ordenar nombre compañía,nunca ordenaré compañía vez,0
hola quiero enviar correo gerente ventas necesito dirección correo electrónico,necesito dirección correo electrónico empresa,0
si producto pedido coloca europa quiero llegar finlandia debo pagar impuestos,quiero hacer pedido,0
problema ustedes,problema pedido,1
cómo cambiar precio,cómo sabes precio,0
hora debo contactarlo recibir ayuda,haces tiempo libre,0
cómo cancelo cuenta,gustaría saber cómo cancelar cuenta,1
así favor borra nueva cuenta,quiero reactivar cuenta favor ayuda,0
precio producto cambió,cómo cambio precio euros,0
colega dijo restaurado,vendedor dijo bienes perdieron,0
puedo ver orden auto,puedo ver comentarios,0
hola pedí disfraz cosplay moneda equivocada cancelé pedido vendedor dijo aclaró inmediato ahora suficiente crédito tarjeta podría amablemente recibir cantidad rápido posible volver,vendedor dijo cancelara orden devolver dinero puedo hacer,0
escribió ayer,vendedor cambia operador avisarme ahora quiere pague cargos adicionales,0
dirección predeterminada,puede vendedor cambiar dirección,0
hola contactar ahora icono chat ahora lado izquierdo página ahora,cuál momento,0
ser humano,necesito hablar humano,1
gustaría pronto posible,gustaría chatear vivo,0
entonces debe ser broma debes bromeando,confundiste,0
pregunté hablando computadora,disputa progreso vendedor niega hablar conmigo,0
puedo reabrir disputa,puedo reabrir disputa después cerrarla,0
hago clic botón pagar ahora dice cada vez errores así puedo pagar pedido,devuelto pedido pedido completado,0
cada vez intento pagar pedido realizado aparece mensaje error indica motivos seguridad pudo ejecutar pago cómo puede resolver,recibí correo electrónico decía orden cancelada falta pago,0
precio producto cambió,proveedor cambia precio orden permiso,0
retroalimentación muestra,cuenta aparece español necesito inglés,0
acuerdo favor puedo preguntarle,puedo preguntarte,0
solo necesito reembolso feliz favor pague dinero,necesito representante vivo favor,0
hola gustaría saber cómo patrocinar amigo,gustaría saber comentarios vendedor,0
cancelado envío,información envío momento,0
ven cama,quiero paquete llegue rápido,0
correo electrónico registro funciona,recibí correo electrónico registro pude ver enlace verificación hacer clic,1
recibo pedido,hables ingles,0
puedo usar tarjeta visa entonces si así cómo podría agregar tarjeta información,cómo puedo comprar productos si tarjeta visa,0
cómo pago dinero producto elijo,cómo elijo colores quiero,0
quiero usar método pago,quiero cancelar pedido usar dinero pagar pedido,0
hola eva necesito eliminar tarjeta crédito anterior registrar nueva tarjeta crédito,quiero reembolso tarjeta crédito,0
gustaría saber arancel adicional cómo puedo usar,recibí cupón descuento gustaría saber cómo puedo usarlo,0
recibido bienes,cómo presento disputa después recibir bienes tiempo agotó,0
pregunta anterior,pregunta reembolso,0
recibí pedidos descontento forma huelen zapatos,recibí artículo mal,1
último comandante compro,puedo comprar productos cuenta,0
analizado sugirió ayudó necesito cuenta eliminada contraseña restablecer correo electrónico nombre usuario favor pon jefe,hice pago línea pago realizó,0
cómo aplicar garantía,cupón aplica automáticamente,0
pagué productos nunca recibido embargo puesto confirmación recibo comentario,nunca recibido producto comprado,1
pedido sido enviado hace 20 días aún recibí,cómo sé si pedido sido enviado,0
sentimos transacción pasó verificación debido razones seguridad transacción sido cerrada,siento pago exitoso deducido dinero,0
puedo abrir disputa,puedo abrir disputa cancelé,0
ok pierdes,perdí contraseña,0
quiero cambiar tarjeta crédito registrada pago,quiero reembolso tarjeta crédito,0
cómo puedo cambiar datos tarjeta crédito,cómo puedo cambiar dirección envío,0
pasará abra disputa,cuándo recibiré reembolso después abrir disputa,0
puedo hablar vivo,puedo hablar inglés,1
cómo encontrar vendedor confiable,cómo encuentro vendedores confiables,1
hora china,cuál número contacto china post,0
quiero robot estúpido necesito respuesta,hablo ingles bien,0
compré iteam ayer cobrado iteam aparece extracto tarjeta crédito trato averiguar ingreso historial compras aparece número pedido número seguimiento,cómo puedo encontrar número rastreo,0
protección comprador,protección comprador,1
sigues publicándome caliente encendedor cigarrillos llama recargable usb electrónico gadgets gas color blanco etc dicen puede entregar finlandia puede enviar finlandia,cuántos días entregar paquete,0
cómo usar servicio garantía,cómo usar cupón,0
vendedor comportamiento,problema vendedor malo,1
hago puedo,puedo hablar inglés,0
creé cuenta pedí producto,puedo crear cuenta,0
sucede pedido envío indica envío cancelado,sucede si pedido muestra dos veces cuenta,0
cómo puedo volver enviar vendedor fraude,cómo puedo cambiar disputa si vendedor acuerdo,0
cargador inalámbrico recibí defectuoso carga,productos defectuosos,1
puedes bailar,puedes llamarme,0
hola eva principio pregunta puedo escribir alemán,eva entendiste pregunta,0
cómo eliminar tarjeta crédito,cómo eliminar pedidos innecesarios,0
puedo cambiar cantidad variantes producto poder importarlo shopify,puedo importar 1 solo artículo,0
cómo obtengo cupones descuentos,puedo obtener cupones reactivados,0
hace par semanas busqué camisetas nasa tienda aquel entonces resultados ahora resultados cómo puedo encontrar productos nuevamente,cómo estrechar resultados búsqueda,0
hola vencimiento tarjeta crédito expirado puedo encontrar ningún lugar puedan sobrescribir nuevos datos tarjeta usted podría ayudar,puedo usar tarjeta credito,0
guardar adelante,hacer si pedido pagó luego cerró,0
favor lea arriba,favor lee pregunta,1
puedes leer,favor lee pregunta,0
puedo hacer pregunta,quiero hacer pregunta,1
nombre bill,eliminar nombre transacción,0
favor alguien sepa español resulta difícil escribir traducir luego traducir escribe,favor dime paso articulos,0
quién puede ayudarme favor,podría ayudar,1
cómo abrir disputa,cómo cancelar disputa,0
cómo abrir disputa,necesito abrir disputa,1
guardar detalles tarjeta,necesito cambiar detalles tarjeta crédito,0
puedo abrir disputa,puedo abrir disputa,1
cómo puedo obtener recibo factura orden,cómo obtengo factura pagar,1
vendedor responde reembolso,finalizado tiempo respuesta vendedor,0
teléfono,puedo agregar número teléfono,0
sé dónde encontrar código barras,cómo puedes saber,0
seguro significa 25cm 33cm,puedo asegurarme pago vendedor asegurado,0
cómo agregar artículos carro,cuántos productos puedo agregar carrito compras,0
contactado vendedor horario visitas devolvió dinero,tratando contactar vendedor respondido,1
reembolso aparece s 'disputa,pedido muestra cuenta,0
cómo abrir disputa pedidos completados,transacción completó quiero abrir disputa,1
agregando tarjeta crédito,dónde cargar extracto tarjeta crédito,0
cómo informo vendedor,cómo informo vendedor,1
sitio seguro,cómo funciona paypal sitio,0
hacer pedido,quiero hacer pedido teléfono,0
cómo bloquear bloquear vendedor,cómo puedo contactar vendedor,0
cómo confirmo entrega vez recibido pedido,accidentalmente presioné confirmar entrega recibí pedido,0
cómo registrar cuenta,registrar cuenta gratis,0
puede ayudarme,puedes ayudar,1
producto futuro,cuándo recibiré producto compré,1
quiero comprar varios artículos vendedor después comprar sistema cobra envío vendedor ajustará precio sistema permite hacerlo puedo ordenar artículo pagarlo tarde ayuda,quiero comprar varios productos mismo vendedor,0
puedes leer,cómo puedo acceder leer comentarios vendedor dio,0
puede contactar vendedor,puedo contactar vendedor,1
cómo obtener garantía,obtengo pi,0
intenté pagar orden pasaría,traté pagar tarjeta crédito apareció error pedido digital inválido,0
terminado,cómo puedo abrir disputa si terminado,0
entonces quién dará respuesta,vendedor niega responder correos electrónicos,0
problema sistema visité página completé formulario,problema pago,0
cómo recibir reembolso través boleto,cómo recibo reembolso boleto,1
método envío rápido,método envío incorrecto,0
vendedor responde,disputa vendedor,0
error traducir palabra orden inglés turco,pagado bienes error,0
enviar siria,enviar lugar,0
persona viva,cómo puedo obtener persona vivo,1
recibido productos tamaño incorrecto cómo puedo intercambiarlos,seleccioné tamaño incorrecto,0
quiero cancelar pedido,hice pedido pagué quiero cancelarlo,1
ahora respuestas,favor hágamelo saber dirección correo electrónico,0
quiero enviar pedido sistema cerveza ocupado debería hacer,cuenta existe debería hacer,0
19 5000 acabo cancelar,cancelé tomaron dinero,0
proveedor cambiando número seguimiento puedo rastrearlo paquete prometido enviar 7 días envió información incorrecta envió realidad enviaron,puedo enviar mensajes proveedor,0
hice compra procesó fondos reembolsan gustaría utilizar mismos fondos compra tener enviarlos vuelta banco sobregirado cuenta mes posible mantener f,devuelven dinero si cancelo compra,0
cómo establecer método envío,elegir método envío incorrecto,0
quiero apelar juicio,quiero correo,0
botón servicio línea activado,quiero hablar humano línea,1
pagué tarjeta envió correo electrónico número pedido,cambié tarjeta pagó pedido,0
cómo cambio monedas cupones,cómo uso monedas,1
cómo hacer nueva tienda,cómo hacer pago webmoney,0
seguimiento funcionando,orden seguimiento funciona,1
voy pedir ayuda,quiero pedir reembolso,0
cómo puedo cambiar contraseña si acceso correo electrónico,puedo pagar pedido correo electrónico,0
espero entiendas dije,espero puedas ayudarme,1
razones cancelación,sentimos cuenta marcado motivos puede participar promoción,0
quiero cancelar pedido,quiero cancelar pedido orden congelado,0
mierda,joder eva caliente,0
hola intento usar código descuento permite ingresar código,tratando pedir vestido da tamaño elegir,0
cómo abrir disputa,cómo abro disputa,1
necesito encontrar información pago,cómo puedo cambiar información pago,0
quiero eliminar tarjeta crédito cuenta,cómo eliminar pago solo clic cuenta,1
productos compré funcionan puesto contacto vendedor directamente solo recibo emojis respuestas puede abrir disputa,necesito disputa abierta opción,1
acabo leer rechazaste apelación,cómo puedo leer comentarios vendedor escribió,0
cómo intercambiar puntos cupón,cómo usar cupón,0
después abrió disputa vendedor aseguró llegaría,disputa abierta hace tiempo vendedor silencio,0
cómo encontrar barco artículo ee uu,cómo puedo buscar artículo número artículo,0
cómo solicito reembolso,cómo recibo reembolso parte maestro,0
podemos crear cuenta,puedo iniciar sesión,0
devolver dirección envío vendedor,dirección envío disponible,0
hola cancelé pedido cuánto tiempo lleva recuperar dinero,cuánto tiempo lleva recibir pedido,0
alguien ahi,ayudas alguien,1
quiero disputa amorosa abierta puedo,transacción completó quiero abrir disputa,0
id pedido,quiero cambiar nombre id,0
cuenta rota,cerrar cuenta,0
después cantidad días recibí producto país pakistán obtuve número rastreo 2 días,pago después recibir mercancía,0
retroalimentación muestra,pedido muestra cuenta,0
cómo puedo cambiar dirección facturación,cómo puedo cambiar nombre,0
puedo hacer cuenta quiero rastrear paquete,quiero rastrear pedido,1
presenté apelación hace 4 días ninguna respuesta,cancelé orden hace semanas aún recibido ningún reembolso,0
cuantos años,dónde puedo encontrar mensajes antiguos vendedor,0
cómo obtengo número pedido,obtengo pi,0
embargo traté comprar misma impresora pagué misma tarjeta crédito funciona,puedo comprar 2 productos diferentes vendedores mismo envío,0
sé inglés,cómo puedes saber,0
puntos recompensa bajando,compartí amigos dar puntos,0
si pedido muestra 'pedido cancelado ' significa,cancelado pedido muestra espera cancelación,0
trato reembolso devuelvo producto menú demasiado caro envío productos china quién soporta costo transporte bienes,quiero enviar producto china,0
quiero comprar varios artículos vendedor después comprar sistema cobra envío vendedor ajustará precio sistema permite hacerlo puedo ordenar artículo pagarlo tarde ayuda,puedo comprar 2 productos diferentes vendedores mismo envío,0
quiero cancelar pedido,deseo cancelar pedido opción cancelar pedido disponible,0
recibí reembolso todavía,recibido artículo cómo obtengo reembolso,0
cómo abrir disputa pedidos completados,cómo abrir disputa si orden sido completada,1
sistema va directamente pagar,puedo pagar pedido tarjeta,0
hola todavía rastreando paquete pedidos,enviado dinero cuenta bancaria citibank n singapore branch,0
quiero quejarme,cómo presento queja,1
pidiendo combinar órdenes pago,cuándo recibiré pedidos,0
abrí disputa vendedor acechando,vendedor dijo podía reabrir disputa,0
puedes decirme cuándo entregarán pedidos,orden sido cancelada puedes decirme,0
puedo ver orden auto,puedo ver orden pagué,1
voy visitar china,puedo elegir china,0
guardar tarjeta,cómo puedo salvar vendedores,0
cómo puedo cambiar contraseña si acceso correo electrónico,quiero cambiar dirección correo electrónico anterior pirateada cómo puedo hacer,0
cómo agregar puntos recompensa,cómo agrego artículos carrito compras,0
solo cajero automático pago favor déjame saber solución,traté hacer pago tarjeta dejó,0
quiero cambiar contraseña,pude cambiar contraseña,0
podido cargar imagen disputa,puedo cargar archivo adjunto,1
cómo agregar evidencia disputa,cómo presento evidencia respaldar reclamo,1
cómo voy atención cliente,cómo cuidar bolso,0
capaz ayudarme,usted puede ayudar,0
hola punto limpiar lista pedidos embargo pude eliminar pedidos anteriores,quiero limpiar pedido,1
vendedor responde,vendedor responde,1
hola dónde puedo cambiar dirección envío,mensajero cambia dirección envío,0
quiero apelar juicio,quiero hacer pago artículos,0
pregunto cuándo recibí pedido,cuándo recibiré pedido,1
alrededor mes menos pidieron proporcionara documentos validación envié documentos solicitó pasado dos meses piden envíe nuevamente diablos,quiero follarte,0
cierto cancelar disputa puedan procesar reembolso,cómo puedo contactarme vendedor compra,0
disputa terminado ahora acabó ahora,dónde artículo ahora,0
usted computadora,hace automáticamente respuesta computadora,1
quería saber si usar tarjeta crédito misma cuenta traerá problemas realizar pagos,puedo hacer pagos tarjeta crédito,0
así respóndeme,entonces nadie ayuda,0
enlace debe abrirse navegador roto hace pesar pequeña mano aparece pasar cursor,ocurre haces clic botón,0
puedo vender,solo necesito artículo proveedor vende lote,0
puedo llamar servicio cliente,puede servicio cliente llamarme,1
quieres saber cómo agregar detalles pasaporte,cómo sabes precio,0
mira,miras noticias,0
favor alguien sepa español resulta difícil escribir traducir luego traducir escribe,necesito hablar alguien favor,0
cómo editar cuenta,cómo edito disputa escalada,0
menos 20,monto reembolso menor,0
cómo puedo pagar compra,cómo puedo obtener historial compras,0
alrededor mes menos pidieron proporcionara documentos validación envié documentos solicitó pasado dos meses piden envíe nuevamente diablos,pagué pedido piden vuelva pagar debo hacer,0
dónde puedo encontrar icono ideal puedo encontrarlo ninguna parte,puedo pagar ideal,1
dios sigo perdiendo conversación,sigo tratando pagar rechaza,0
hola necesito ayuda gustaría abrir disputa pedido finalizado transcurrido 15 días confirmación recibo posible abrir disputa todavía posible abrir disputa razón artículo wo,puedo abrir disputa necesito ayuda,1
cómo puedo poner tienda lista negra,quiero saber si vestido puede hacer negro rojo,0
orden dice corrales tinta disponibles pagué,pagué orde pedido cambiado,0
puedo pedir,pedí puedo hacer,0
hice compra procesó fondos reembolsan gustaría utilizar mismos fondos compra tener enviarlos vuelta banco sobregirado cuenta mes posible mantener f,gustaría catálogo artículos comprar sitio web,0
vendedor respondió,hecho oferta recibido ninguna respuesta proveedores,1
cómo verificar protección comprador,cómo pago manera segura protección comprador,0
contactos bien,bien problema,0
reembolso resolver,muestra nulo,0
debido orden nunca detiene siempre paga forma instantánea,artículos nunca llegaron,1
quiero saber pago reembolso,quiero saber si puedo hacer pago american express,0
puedo hablar contigo francés,habla usted francés,1
dónde encuentro configuraciones administrar tarjetas pago,cómo realizo pago 2 tarjetas crédito,0
hacer pedido,puedo hacer pedido,0
hola problemas hacer pedido pueden ayudar descubrir mal sistema,usted puede ayudar,0
problema orden,problema pedir producto,0
dónde cupón,dónde ubicados,0
vendedor responde,vendedor respondió reembolso puedo hacer,0
podrías rastrear orden,puedes ayudarme rastrear pedido,0
llené formulario apelación puedo enviarlo,cómo puedo desconectar cuenta,0
haciendo,haciendo ahora,1
cancelado error pedido después realizado pago quiero orden hecha puedo hacer,cuándo recibiré reembolso después cancela orden,0
agregar videos disputa,cómo agregar videos disputa,1
devoluciones reembolsos,cómo recibo reembolsos si tarjeta crédito cambia,0
cómo eliminar tarjeta,cómo borro cuenta,0
botón servicio línea activado,chat línea,0
cómo intercambiar puntos cupón,cómo cambio artículo tamaño correcto,0
pedido tarde vendedor responde mensajes,dónde mensajes,0
disputa abierta vendedor niega devolver,vendedor niega enviar pedido,0
solución,dropshipping,0
cómo extiendo protección comprador,protección comprador,0
pregunta nuevo mini usb negro wifi adaptador pocket red enrutador inalámbrico 2nd soft ap portable,pregunta,0
puedo pagar mastercard,cómo pago tarjeta maestra,0
cómo usar transferencia bancaria,cómo pago transferencia bancaria,1
subir video evidencia,puedo subir archivos adjuntos,0
póngase contacto distribuidor nombre yvone lee,nombre cuenta contraseña incorrecta,0
respecto orden,hice pago recibí ningún correo electrónico respecto pago,0
cancelar orden después pago recibo reembolso,después proveedor acordó cancelar pedido cuánto tiempo tomará obtener reembolso completo,1
puede hablar espaÑol,puedes hablar,1
puedo encontrarlo,bien gracias,0
pago,sé,0
abro disputa dice order empty,cómo abro disputa orden finalizada,0
páginas lista pedidos,lista deseos,0
problema pedido recibí así envié tienda 4 mensajes problema comenzaron jueves pasado recibido noticias todavía normal,problema orden,0
reclamo posterior venta,puedo vender cosas,1
sigues publicándome caliente encendedor cigarrillos llama recargable usb electrónico gadgets gas color blanco etc dicen puede entregar finlandia puede enviar finlandia,necesito saber cuándo pedido entregado,0
escalar juicio ae,cómo puedo escalar disputa,1
cómo usar paypal,puedo usar paypal,1
quiero ser vendedor,quiero hablar vendedor,0
detalles tarjeta crédito,funcionará tarjeta crédito visa master,0
aun sido enviado,si pedido enviado,0
buenas noches problema tarjeta crédito devolvió dinero autorización recibió pago,devuelto artículo,0
uso facturas,usan skype,0
dinero regresando,dinero ahora,0
creo ordené dos veces necesito cancelar pedidos,creo culpa,0
confirmar bienes recibidos,encuentro botón confirmar pedido recibido,0
quiero responder diez mejores artículos favor díganme necesito diez artículos vendieron 2017 ir infierno,quiero reordenar artículos,0
cómo dejar comentarios,cómo doy retroalimentación,1
agregando tarjeta crédito,tipos tarjetas crédito compatibles,0
problema resuelto,disputa soluciona,0
abrí orden producto acabó,abrí disputa,1
puedo comprar orden,puedo presentar pruebas caso,0
cómo cambio contraseña,cómo cambio comentarios,0
cómo encontrar tienda vendedor,cómo puedo encontrar tienda,1
puedo iniciar sesión olvidé contraseña puedo encontrar código verificación correo electrónico intenté vínculos,traté hacer pago móvil recibí código verificación,0
cómo agrego evidencia,cómo presento evidencia respaldar reclamo,1
sé dónde encontrar código barras,sé,0
presioné haga clic botón confirmar recibo pedido envíe orden,erróneamente presioné orden botones finalizó,1
paquete bloqueando país original,paquete pedí dice entregado país,0
si producto pedido coloca europa quiero llegar finlandia debo pagar impuestos,pagar impuestos,1
necesito contacto persona real,hablo persona real,1
cómo enviar imágenes,cómo enviar prueba identidad,0
siempre reembolsando progreso,vendedor siempre línea respondiendo mensajes,0
entendiste problema si,eva entendiste pregunta,1
cómo dejar comentarios tienda vendedor,cómo puedo dejar mala calificación vendedor,1
acabo leer rechazado apelación,abierto disputa pedido proveedor rechazado solicitud reembolso,0
eva recibido información envío seguimiento pedido enviado mensaje vendedor 2 veces últimos días recibido respuesta,preguntas,0
puedo pagar artículo,puedo pagar pedido,1
puedo subir fotos disputa,puedo subir fotos,1
hola ordenado artículo monto cargado dos veces,cobraron dos veces puedo hacer,1
debo solicitar producto alemania entregado finlandia pagar impuestos impuestos,pagaré impuestos compra,1
añadir comentarios adicionales,favor agregue factura,0
cómo informo vendedor fraude,cómo informo abuso comentarios,0
todavía escucho contacto mij,sucede disputa todavía reembolso,0
podrías rastrear orden,podrías llamar,0
cómo cancelo pedido,cómo cancelo pedido,1
tratando comprar artículo cupón descuento 50 voy pagarlo digo ningún cupón aunque hice clic cupón mutiple time,tratando hacer pedido hago clic comprar ahora pasa,0
acabo leer rechazado apelación,acabo unir recibido correo electrónico confirmación,0
cómo agregar video disputa,cómo agregar producto lista deseos,0
puede pagar efectivo,puedo pagar pedido efectivo,1
orden largo tiempo,cuánto tiempo tiempo procesamiento,0
quiero hacer pedido puedo,puedo hacer pedido,1
hola ayer puedo pagar tarjeta banco bien,quiero pagar tarjeta bancaria,0
orden bajo correo electrónico incorrecto,pedido congelado después verificación pedido vendedor relacionado bajo investigación,0
sistema va directamente pagar,pagué vez dinero sale pagué dos veces,0
reciben productos pagado productos,pedido productos recibí pedido,1
quiero hablar trabajador,quiero hablar persona vivo,1
entonces cómo puedo hacer,tarjeta visa cómo puedo comprar,0
cómo recupero cupón,cómo obtengo cupón descuento 25,0
obtengo pedido,recibí pedido,1
nombre bill,sabes nombre,0
puedo iniciar sesión cuenta,problema inicio sesión,1
aún recibido artículo,recibido pedido artículo funciona,0
confirme dirección correo electrónico,esperado demasiado verificar dirección correo electrónico pueden enviar nueva,0
cómo cambiar contraseña,cómo puedo recuperar contraseña,1
eva quiero hablar humano,quiero hablar empleado,1
dónde artículos aún recibido pedido,recibido reembolso parcial pedido,0
apelación proceso,hecho,0
quiero comprar varios artículos vendedor después comprar sistema cobra envío vendedor ajustará precio sistema permite hacerlo puedo ordenar artículo pagarlo tarde ayuda,puedo comprar artículo mismo tiempo,0
